"MovieTitle","MovieID","MovieURL","ReleaseYear","IMDBRating","NumberOfUsersRated","DurationMins","ReleaseDate","Genre1","Genre2","Genre3","NumIMDBUserReviews","NumIMDBCriticReviews","DirectorName","DirectorID","DirectorURL","Star1Name","Star1ID","Star1URL","Star2Name","Star2ID","Star2URL","Star3Name","Star3ID","Star3URL","BoxOfficeBudget","BoxOfficeBudgetCurr","BoxOfficeOpeningWeekend","BoxOfficeOpeningWeekendCurr","BoxOfficeGross","BoxOfficeGrossCurr","NumberOfOscars"
"Stevie","tt0078321","http://www.imdb.com/title/tt0078321/","1978","7.2","314","102"," October 1978
(UK)
","Biography","Drama",NA,"314",NA,"Hugh Whitemore","/name/nm0925849","/name/nm0925849/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","2"
"Days of Heaven","tt0077405","http://www.imdb.com/title/tt0077405/","1978","8.0","34885","94"," 13 September 1978
(USA)
","Drama","Romance",NA,"34885","108","Terrence Malick","/name/nm0000517","/name/nm0000517/","Richard Gere","nm0000152","/name/nm0000152/","Brooke Adams","nm0000724","/name/nm0000724/","Sam Shepard","nm0001731","/name/nm0001731/","
    See more »
  ",NA,"",NA,"Company Credits","NA","1"
"Dr. Strange","tt0077469","http://www.imdb.com/title/tt0077469/",NA,"5.5","644","93"," 6 September 1978
(USA)
","Fantasy",NA,NA,"644",NA,"Philip DeGuere Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Technical Specs",NA,"
      Runtime: 
        93 min
    ","NA","0"
"Newsfront","tt0077986","http://www.imdb.com/title/tt0077986/","1978","7.1","528","110"," 29 July 1978
(Australia)
","Drama","History",NA,"528",NA,"David Elfick","/name/nm0253311","/name/nm0253311/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"A Wedding","tt0078481","http://www.imdb.com/title/tt0078481/","1978","7.1","2422","125"," 29 August 1978
(USA)
","Comedy","Drama",NA,"2422",NA,"John Considine","/name/nm0175912","/name/nm0175912/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"China 9, Liberty 37","tt0077327","http://www.imdb.com/title/tt0077327/","1978","6.1","718","102"," 4 August 1978
(Italy)
","Western",NA,NA,"718",NA,"Jerry Harvey","/name/nm0893392","/name/nm0893392/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Piranha","tt0078087","http://www.imdb.com/title/tt0078087/","1978","5.9","13439","94"," 3 August 1978
(USA)
","Comedy","Horror","Sci-Fi","13439",NA,"Richard Robinson","/name/nm0000626","/name/nm0000626/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        SEK 1,585,673        

      (Sweden)
    ",NA,"
    See more »
  ",NA,"","NA","0"
"Who'll Stop the Rain","tt0078490","http://www.imdb.com/title/tt0078490/","1978","6.9","1773","126"," 8 September 1978
(West Germany)
","Action","Crime","Drama","1773",NA,"Robert Stone","/name/nm0711083","/name/nm0711083/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Interiors","tt0077742","http://www.imdb.com/title/tt0077742/","1978","7.5","13270","93"," 2 August 1978
(USA)
","Drama",NA,NA,"13270",NA,"Woody Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000000","USD","
    See more »
  ",NA,"","NA","5"
"Eyes of Laura Mars","tt0077530","http://www.imdb.com/title/tt0077530/","1978","6.1","5908","104"," 2 August 1978
(USA)
","Horror","Mystery","Thriller","5908",NA,"John Carpenter","/name/nm0329051","/name/nm0329051/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Girlfriends","tt0077613","http://www.imdb.com/title/tt0077613/","1978","6.7","412","86"," August 1978
(USA)
","Comedy","Drama",NA,"412",NA,"Claudia Weill","/name/nm0918041","/name/nm0918041/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"Nurse Sherri","tt0076478","http://www.imdb.com/title/tt0076478/","1978","2.5","376","88"," August 1978
(USA)
","Horror",NA,NA,"376",NA,"Michael Bockman","/name/nm0864529","/name/nm0864529/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Technical Specs",NA,"
      Runtime: 
        83 min
            (video)
    ",NA,"
    Sound Mix:
        Mono
    ","NA","0"
"The Driver","tt0077474","http://www.imdb.com/title/tt0077474/","1978","7.2","8304","91"," 11 October 1978
(UK)
","Crime","Thriller",NA,"8304",NA,"Walter Hill","/name/nm0001353","/name/nm0001353/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Hooper","tt0077696","http://www.imdb.com/title/tt0077696/","1978","6.2","3970","99"," 28 July 1978
(USA)
","Action","Comedy",NA,"3970",NA,"Thomas Rickman","/name/nm0725564","/name/nm0725564/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","1"
"Animal House","tt0077975","http://www.imdb.com/title/tt0077975/","1978","7.6","85800","109"," 28 July 1978
(USA)
","Comedy",NA,NA,"85800","89","John Landis",NA,NA,"John Belushi","nm0000004","/name/nm0000004/","Karen Allen","nm0000261","/name/nm0000261/","Tom Hulce","nm0001371","/name/nm0001371/","3000000","USD","
    Gross:        $141,600,000        

      (USA)
    ",NA,"
    See more »
  ","NA","0"
"Sgt. Pepper's Lonely Hearts Club Band","tt0078239","http://www.imdb.com/title/tt0078239/","1978","3.8","4898","113"," 24 July 1978
(USA)
","Adventure","Comedy","Fantasy","4898",NA,"Henry Edwards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
    Gross:        $12,900,000        

      (USA)
    ",NA,"
    See more »
  ",NA,"","NA","0"
"International Velvet","tt0077743","http://www.imdb.com/title/tt0077743/","1978","5.7","1072","127"," 1 September 1978
(Denmark)
","Drama","Family","Sport","1072",NA,"Enid Bagnold","/name/nm0285302","/name/nm0285302/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
